,NAME,DOB,GENDER,ID
0,Aanchal Srivatsa,['31-08-1995'],['Female'],['VRTFH2847A']
1,Abhisar Malik,['23-07-1965'],['Male'],['LPRLY2520G']
2,Abhisar Khajuria,['08-02-1974'],['Male'],['XCRHT6696V']
3,Abhinesh Singhaniya,['05-09-1977'],['Male'],['EXYJB9031L']
4,Abhilasha Arora,['22-04-1976'],['Female'],['FPOLQ4618L']
5,Akhilesh Guha,['29-12-1969'],['Male'],['DNPJB1589C']
6,Abhinesh Dadhich,['16-05-1955'],['Male'],['VZNHX5365A']
7,Akhilesh Talwar,['22-04-1948'],['Male'],['HVDFY0514H']
9,Agni Malode,['26-11-1972'],['Male'],['TNNLU3094U']
10,Adityanath Narayan,['26-11-1975'],['Male'],['WMGAR7012T']
12,Aman Baranwal,['12-05-1969'],['Male'],['DPABK1472L']
15,Aaradhita Gandhi,['18-12-1975'],['Female'],['CWRBH1879V']
16,Agni Pandey,['20-02-1992'],['Male'],['EAMJV3437B']
17,Abhisar Maheshwari,['25-11-1991'],['Male'],['BAFJG1224L']
18,Adyashankar Rao,['07-05-1973'],['Male'],['DAJPC4150P']
19,Agni Tyagi,['28-09-1985'],['Male'],['XGZFE7225A']
20,Akshit Bala,['16-06-1996'],['Male'],['UGXAL3110N']
21,Aditya Keshari,['16-10-1983'],['Male'],['RRVFG9837G']
22,Aaradhita Khosla,['10-06-1972'],['Female'],['NWJHU8758L']
23,Akshay Bandopadhyay,['03-07-1970'],['Male'],['LKFOS5068C']
24,Akhilesh Bansal,['15-11-1968'],['Male'],['FZLPP0200T']
25,Aaradhita Nahar,['05-10-1964'],['Female'],['XWJCC7571K']
26,Aditi Piramal,['28-10-1980'],['Female'],['EHIJB7983R']
27,Adityanath Rai,['27-11-1960'],['Male'],['BFYCD2503L']
28,Aarti Rathore,['11-11-1991'],['Female'],['FPKLH7180E']
29,Agni Vishwakarma,['18-12-1976'],['Male'],['LFPCH2965C']
31,Anish Garg,['15-09-1973'],['Male'],['YRUHY0179Q']
32,Amrit Verma,['02-02-1969'],['Male'],['FJECZ5248L']
33,Anil Shankar,['19-10-1973'],['Male'],['PWRBL5987W']
34,Ankur Bharadwaj,['25-06-1958'],['Male'],['LQSHQ0724M']
35,Anubhuti Dhanuka,['09-08-1986'],['Female'],['TMTFP5897S']
37,Ambar Didwania,['01-03-1974'],['Male'],['UHZGS9242U']
